trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2751,False,"{'a': 0.001, 'e': 0.06392786120670757}",20,12,15.320659121572309,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2752,False,"{'a': 0.001, 'e': 0.0638639652987795}",20,10,-1.3891797937531254,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
2753,False,"{'a': 0.001, 'e': 0.063800133254822}",20,9,18.80179850046469,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2754,False,"{'a': 0.001, 'e': 0.06373636501100312}",30,17,22.51822046856061,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2755,False,"{'a': 0.001, 'e': 0.06367266050355457}",25,15,5.293817831650058,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2756,False,"{'a': 0.001, 'e': 0.0636090196687718}",20,16,6.373111651226271,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2757,False,"{'a': 0.001, 'e': 0.063545442443014}",25,15,20.16850193583395,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2758,False,"{'a': 0.001, 'e': 0.06348192876270395}",20,14,10.89177786795225,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2759,False,"{'a': 0.001, 'e': 0.06341847856432796}",30,16,26.135192578531896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2760,False,"{'a': 0.001, 'e': 0.06335509178443581}",20,13,14.982841423308848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2761,False,"{'a': 0.001, 'e': 0.0632917683596407}",25,12,11.029791765650526,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2762,False,"{'a': 0.001, 'e': 0.06322850822661927}",25,6,13.389424345358961,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
2763,False,"{'a': 0.001, 'e': 0.06316531132211131}",20,12,15.032168532521249,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2764,False,"{'a': 0.001, 'e': 0.06310217758291994}",25,15,16.657903288612292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2765,False,"{'a': 0.001, 'e': 0.0630391069459114}",20,9,20.382886395250914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2766,False,"{'a': 0.001, 'e': 0.06297609934801507}",25,14,19.928522109761577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2767,False,"{'a': 0.001, 'e': 0.06291315472622334}",20,12,11.758198435209744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2768,False,"{'a': 0.001, 'e': 0.06285027301759159}",20,9,21.39796972069568,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2769,False,"{'a': 0.001, 'e': 0.06278745415923806}",20,10,5.9407981447724865,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2770,False,"{'a': 0.001, 'e': 0.06272469808834395}",20,3,30.776041874040516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2771,False,"{'a': 0.001, 'e': 0.06266200474215315}",20,15,7.200017472134442,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2772,False,"{'a': 0.001, 'e': 0.06259937405797232}",20,6,14.955551603545906,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2773,False,"{'a': 0.001, 'e': 0.06253680597317074}",25,20,8.970103868563212,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2774,False,"{'a': 0.001, 'e': 0.06247430042518036}",20,10,19.49897049415329,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2775,False,"{'a': 0.001, 'e': 0.06241185735149562}",20,16,9.193592142764906,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2776,False,"{'a': 0.001, 'e': 0.06234947668967343}",20,8,16.683277981237513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2777,False,"{'a': 0.001, 'e': 0.0622871583773331}",20,10,19.2730545413272,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2778,False,"{'a': 0.001, 'e': 0.06222490235215636}",35,19,31.38375654026485,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2779,False,"{'a': 0.001, 'e': 0.062162708551887165}",20,10,14.66697703657147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2780,False,"{'a': 0.001, 'e': 0.0621005769143317}",25,19,4.482977329176494,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
2781,False,"{'a': 0.001, 'e': 0.06203850737735829}",25,15,18.984051326461238,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2782,False,"{'a': 0.001, 'e': 0.061976499878897466}",25,14,19.731673980794966,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2783,False,"{'a': 0.001, 'e': 0.061914554356941674}",20,12,14.009986751973159,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2784,False,"{'a': 0.001, 'e': 0.06185267074954541}",35,25,14.80121439975802,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2785,False,"{'a': 0.001, 'e': 0.061790848994825016}",20,12,13.129895261180067,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2786,False,"{'a': 0.001, 'e': 0.06172908903095879}",30,4,41.41534246243332,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
2787,False,"{'a': 0.001, 'e': 0.061667390796186744}",20,12,1.0845465077166796,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2788,False,"{'a': 0.001, 'e': 0.061605754228810636}",25,20,7.837663862050528,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2789,False,"{'a': 0.001, 'e': 0.06154417926719386}",35,23,21.487269909470914,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2790,False,"{'a': 0.001, 'e': 0.0614826658497615}",20,8,23.941808231366018,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2791,False,"{'a': 0.001, 'e': 0.06142121391500013}",20,11,16.36118123416195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2792,False,"{'a': 0.001, 'e': 0.06135982340145778}",25,15,22.270666640679828,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2793,False,"{'a': 0.001, 'e': 0.061298494247743925}",20,14,-0.25831330865726754,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
2794,False,"{'a': 0.001, 'e': 0.061237226392529445}",25,14,20.980302480888597,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2795,False,"{'a': 0.001, 'e': 0.06117601977454647}",20,14,12.597202730229714,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2796,False,"{'a': 0.001, 'e': 0.06111487433258836}",20,10,19.05865657938661,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2797,False,"{'a': 0.001, 'e': 0.06105379000550965}",30,23,11.33898792346055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2798,False,"{'a': 0.001, 'e': 0.06099276673222606}",30,15,19.230350648725917,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2799,False,"{'a': 0.001, 'e': 0.06093180445171429}",30,20,11.977657176221959,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2800,False,"{'a': 0.001, 'e': 0.06087090310301205}",20,12,13.524681206960473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2801,False,"{'a': 0.001, 'e': 0.06081006262521795}",20,12,12.72011188741426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2802,False,"{'a': 0.001, 'e': 0.060749282957491574}",30,4,19.645257581260694,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
2803,False,"{'a': 0.001, 'e': 0.06068856403905322}",20,2,-10.360495029093984,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
2804,False,"{'a': 0.001, 'e': 0.06062790580918396}",20,13,12.05440866828995,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2805,False,"{'a': 0.001, 'e': 0.060567308207225536}",20,11,17.937682290152747,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2806,False,"{'a': 0.001, 'e': 0.06050677117258039}",35,25,17.08338858310545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2807,False,"{'a': 0.001, 'e': 0.06044629464471146}",20,7,13.780940702989845,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2808,False,"{'a': 0.001, 'e': 0.06038587856314221}",25,16,14.651278620866211,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2809,False,"{'a': 0.001, 'e': 0.06032552286745654}",35,26,18.743583402404862,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2810,False,"{'a': 0.001, 'e': 0.060265227497298776}",20,2,26.039768788061085,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2811,False,"{'a': 0.001, 'e': 0.06020499239237354}",20,6,14.311576139112724,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2812,False,"{'a': 0.001, 'e': 0.06014481749244571}",25,5,38.049502552711836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2813,False,"{'a': 0.001, 'e': 0.06008470273734036}",20,10,16.945506543163674,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2814,False,"{'a': 0.001, 'e': 0.060024648066942785}",20,0,-9.466662844787246,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2815,False,"{'a': 0.001, 'e': 0.05996465342119827}",20,14,9.168986739363477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2816,False,"{'a': 0.001, 'e': 0.05990471874011218}",25,13,21.39458945558435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2817,False,"{'a': 0.001, 'e': 0.059844843963749825}",35,20,30.197348948361434,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2818,False,"{'a': 0.001, 'e': 0.059785029032236384}",25,1,30.11479094962063,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
2819,False,"{'a': 0.001, 'e': 0.05972527388575699}",30,17,20.146288644073117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
